"","subnum","condition","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"18","4","blindfold",4,NA,NA,3,14.5,0,NA,19.2504545454545,1.2,11.5,0.863636363636364,14.0236363636364,14.6909090909091,37.1818181818182,1,41.1363636363636,NA,-1,17.74,NA,NA,12.20807666,NA,NA,0,0,1
"19","5","blindfold",5,NA,NA,4,20,0,NA,24.7745161290323,1.2,14.2258064516129,0.774193548387097,9.77612903225806,10.438064516129,47.741935483871,1,50.6129032258064,NA,-1,13.4358064516129,NA,NA,12.24640657,NA,NA,0,1,2
"22","8","blindfold",8,NA,NA,4,16,0,NA,17.6004,1.2,10.72,0.84,14.54,15.0136,33.6,1,37.4,NA,-1,17.8948,NA,NA,12.47364819,NA,NA,0,1,2
"24","10","blindfold",10,NA,NA,3,20.5,0,NA,23.9414705882353,1.2,13.8529411764706,0.764705882352941,8.26352941176471,8.88176470588235,46.8823529411765,1,50.1176470588235,NA,-1,11.8788235294118,NA,NA,12.87611225,NA,NA,0,0,1
"25","11","blindfold",11,NA,NA,4,10,0,NA,12.4546153846154,1.2,8,1,4.94769230769231,5.63307692307692,25.8461538461538,1,25.8461538461538,NA,-1,8.48538461538462,NA,NA,12.85147159,NA,NA,0,0,1
"27","13","blindfold",13,NA,NA,3,20,0,NA,16.0578787878788,1.2,9.93939393939394,0.757575757575758,5.13,5.81666666666667,34,1,33.1212121212121,NA,-1,8.74848484848485,NA,NA,12.31506849,NA,NA,0,0,1
"28","14","blindfold",14,NA,NA,3,17.5,0,NA,21.4896428571429,1.2,12.6428571428571,0.821428571428571,6.98142857142857,7.78357142857143,43.7857142857143,1,43.8571428571429,NA,-1,11.0857142857143,NA,NA,12.15068493,NA,NA,0,0,1
"31","2","interference",2,NA,NA,2,18,1,NA,14.7313793103448,1.2,9.31034482758621,0.655172413793103,3.92931034482759,4.71448275862069,28.3103448275862,1,30.4137931034483,NA,97.6551724137931,11.4862068965517,NA,NA,12.88158795,NA,NA,0,0,1
"32","3","interference",3,NA,NA,1,18,1,NA,16.2244827586207,1.2,10.0689655172414,0.689655172413793,2.66586206896552,3.4448275862069,34.2758620689655,1,32.2758620689655,NA,96.7931034482759,10.2110344827586,NA,NA,12.09308693,NA,NA,0,1,2
"33","4","interference",4,NA,NA,4,14.5,1,NA,17.9186363636364,1.2,10.8636363636364,0.818181818181818,12.8963636363636,13.6645454545455,38.6363636363636,1,37.3181818181818,NA,96.9090909090909,20.4122727272727,NA,NA,12.20807666,NA,NA,0,0,1
"34","5","interference",5,NA,NA,2,19,1,NA,24.1551612903226,1.2,13.9032258064516,0.838709677419355,9.00032258064516,9.82032258064516,50.4838709677419,1,50.3548387096774,NA,95.258064516129,12.4825806451613,NA,NA,12.24640657,NA,NA,0,1,2
"37","8","interference",8,NA,NA,3,16,1,NA,17.4404,1.2,10.64,0.84,9.8232,10.4632,32.2,1,35.96,NA,93.44,14.3212,NA,NA,12.47364819,NA,NA,0,1,2
"39","10","interference",10,NA,NA,2,20.5,1,NA,25.7444117647059,1.2,14.6764705882353,0.823529411764706,4.78088235294118,5.50676470588235,43.3529411764706,1,50.2352941176471,NA,89.9117647058823,9.80205882352941,NA,NA,12.87611225,NA,NA,0,0,1
"40","11","interference",11,NA,NA,2,11,1,NA,7.70846153846154,1.2,5.38461538461539,0.846153846153846,29.8130769230769,30.0692307692308,17.0769230769231,1,16.8461538461538,NA,97.6923076923077,32.5076923076923,NA,NA,12.85147159,NA,NA,0,0,1
"42","13","interference",13,NA,NA,4,20,1,NA,14.01,1.2,8.90909090909091,0.666666666666667,9.19575757575758,9.90060606060606,29.6969696969697,1,28.7575757575758,NA,88.4848484848485,12.5212121212121,NA,NA,12.31506849,NA,NA,0,0,1
"43","14","interference",14,NA,NA,2,17.5,1,NA,19.1032142857143,1.2,11.4285714285714,0.821428571428571,7.86714285714286,8.87392857142857,38.2142857142857,1,40.6785714285714,NA,94.5357142857143,12.1839285714286,NA,NA,12.15068493,NA,NA,0,0,1
"46","2","stillhands",2,NA,NA,1,18,0,NA,17.0210344827586,1.2,10.4827586206897,0.689655172413793,11.0731034482759,11.911724137931,31.7241379310345,1,35.4137931034483,NA,-1,14.921724137931,NA,NA,12.88158795,NA,NA,0,0,1
"47","3","stillhands",3,NA,NA,2,18,0,NA,20.5762068965517,1.2,12.2068965517241,0.758620689655172,9.30931034482759,10.1451724137931,41.448275862069,1,43.9655172413793,NA,-1,13.1827586206897,NA,NA,12.09308693,NA,NA,0,1,2
"48","4","stillhands",4,NA,NA,1,14.5,0,NA,12.7768181818182,1.2,8.22727272727273,0.727272727272727,12.6163636363636,13.2859090909091,25.1363636363636,1,27.7272727272727,NA,-1,16.3113636363636,NA,NA,12.20807666,NA,NA,0,0,1
"49","5","stillhands",5,NA,NA,3,19,0,NA,21.0254838709677,1.2,12.3548387096774,0.838709677419355,8.53354838709677,9.14903225806452,45.9032258064516,1,45.2903225806452,NA,-1,12.1522580645161,NA,NA,12.24640657,NA,NA,0,1,2
