subnum, condition, task, order, trial,interference,date,max,exponent,threshold,correct,rt1,rt2,r,addends,sum,digits,int_score,trial_time
10,baseline,baseline,1,35,0,20130815T132407,5.22E+01,1.20E+00,27,0,30,30.1,-1,1,91,2  51  38,-1,3.31E+01
10,baseline,baseline,1,36,0,20130815T132407,4.99E+01,1.20E+00,26,1,10.44,11.43,130,1,130,29  51  50,-1,1.43E+01
10,baseline,baseline,1,37,0,20130815T132407,5.22E+01,1.20E+00,27,1,3.51,4.46,114,1,114,51  48  15,-1,7.68E+00
10,baseline,baseline,1,38,0,20130815T132407,5.45E+01,1.20E+00,28,1,15.8,16.69,129,1,129,49  55  25,-1,2.00E+01
10,baseline,baseline,1,39,0,20130815T132407,5.69E+01,1.20E+00,29,1,4.43,4.97,99,1,99,10  31  58,-1,8.07E+00
10,baseline,baseline,1,40,0,20130815T132407,5.92E+01,1.20E+00,30,1,5.66,6.84,154,1,154,60  45  49,-1,1.02E+01
10,baseline,baseline,1,41,0,20130815T132407,6.16E+01,1.20E+00,31,0,30,30.1,-1,1,131,61  13  57,-1,3.36E+01
11,baseline,baseline,1,1,0,20130819T101803,3,1.20E+00,1,0,1.68,8.59,11,1,8,2  3  3,-1,1.16E+01
11,baseline,baseline,1,2,0,20130819T101803,3,1.20E+00,1,1,3.27,4.28,7,1,7,2  2  3,-1,6.79E+00
11,baseline,baseline,1,3,0,20130819T101803,3,1.20E+00,1,1,1.06,1.77,6,1,6,1  3  2,-1,4.35E+00
11,baseline,baseline,1,4,0,20130819T101803,2.30E+00,1.20E+00,2,1,0.65,1.1,3,1,3,1  1  1,-1,3.66E+00
11,baseline,baseline,1,5,0,20130819T101803,3.74E+00,1.20E+00,3,1,1.67,2.08,11,1,11,2  4  5,-1,5.00E+00
11,baseline,baseline,1,6,0,20130819T101803,5.28E+00,1.20E+00,4,1,0.45,0.79,7,1,7,4  2  1,-1,3.43E+00
11,baseline,baseline,1,7,0,20130819T101803,6.90E+00,1.20E+00,5,1,0.63,1.09,10,1,10,2  6  2,-1,3.75E+00
11,baseline,baseline,1,8,0,20130819T101803,8.59E+00,1.20E+00,6,1,1.28,1.78,15,1,15,6  1  8,-1,4.57E+00
11,baseline,baseline,1,9,0,20130819T101803,1.03E+01,1.20E+00,7,1,4.24,4.67,24,1,24,11   5   8,-1,7.46E+00
11,baseline,baseline,1,10,0,20130819T101803,1.21E+01,1.20E+00,8,1,5.25,5.77,27,1,27,6  13   8,-1,8.66E+00
11,baseline,baseline,1,11,0,20130819T101803,1.40E+01,1.20E+00,9,1,8.53,9.24,34,1,34,14   8  12,-1,1.21E+01
11,baseline,baseline,1,12,0,20130819T101803,1.58E+01,1.20E+00,10,1,3.22,3.58,22,1,22,3  15   4,-1,6.65E+00
11,baseline,baseline,1,13,0,20130819T101803,1.78E+01,1.20E+00,11,1,2.42,3.06,38,1,38,3  17  18,-1,6.18E+00
11,baseline,baseline,1,14,0,20130819T101803,1.97E+01,1.20E+00,12,1,1.78,2.58,29,1,29,3   5  21,-1,5.62E+00
11,baseline,baseline,1,15,0,20130819T101803,2.17E+01,1.20E+00,13,1,5.35,6.15,60,1,60,20  17  23,-1,9.32E+00
11,baseline,baseline,1,16,0,20130819T101803,2.37E+01,1.20E+00,14,1,2.92,3.87,46,1,46,20   1  25,-1,6.84E+00
11,baseline,baseline,1,17,0,20130819T101803,2.58E+01,1.20E+00,15,1,4.44,4.97,60,1,60,9  26  25,-1,8.16E+00
11,baseline,baseline,1,18,0,20130819T101803,2.79E+01,1.20E+00,16,1,11.26,11.82,66,1,66,16  29  21,-1,1.50E+01
11,baseline,baseline,1,19,0,20130819T101803,3.00E+01,1.20E+00,17,1,0.75,1.19,60,1,60,29   1  30,-1,3.98E+00
11,baseline,baseline,1,20,0,20130819T101803,3.21E+01,1.20E+00,18,1,10.33,11.32,76,1,76,32  13  31,-1,1.45E+01
11,baseline,baseline,1,21,0,20130819T101803,3.42E+01,1.20E+00,19,1,5.2,5.67,47,1,47,3  33  11,-1,8.57E+00
11,baseline,baseline,1,22,0,20130819T101803,3.64E+01,1.20E+00,20,0,6.24,6.66,47,1,46,9   2  35,-1,9.58E+00
11,baseline,baseline,1,23,0,20130819T101803,3.42E+01,1.20E+00,19,0,17.19,17.68,67,1,72,35  13  24,-1,2.08E+01
11,baseline,baseline,1,24,0,20130819T101803,3.21E+01,1.20E+00,18,1,18.49,19.16,70,1,70,12  25  33,-1,2.22E+01
11,baseline,baseline,1,25,0,20130819T101803,3.42E+01,1.20E+00,19,1,6.46,6.95,47,1,47,33   5   9,-1,9.91E+00
11,baseline,baseline,1,26,0,20130819T101803,3.64E+01,1.20E+00,20,1,10.18,11.12,83,1,83,36  33  14,-1,1.43E+01
11,baseline,baseline,1,27,0,20130819T101803,3.86E+01,1.20E+00,21,1,6.56,7.06,68,1,68,16  12  40,-1,9.95E+00
11,baseline,baseline,1,28,0,20130819T101803,4.08E+01,1.20E+00,22,1,11.15,11.72,86,1,86,42   9  35,-1,1.48E+01
11,baseline,baseline,1,29,0,20130819T101803,4.31E+01,1.20E+00,23,0,23.36,24.04,97,1,87,12  32  43,-1,2.71E+01
11,baseline,baseline,1,30,0,20130819T101803,4.08E+01,1.20E+00,22,1,17.65,18.18,63,1,63,11  41  11,-1,2.11E+01
11,baseline,baseline,1,31,0,20130819T101803,4.31E+01,1.20E+00,23,1,16.32,16.88,68,1,68,7  44  17,-1,2.02E+01
11,baseline,baseline,1,32,0,20130819T101803,4.53E+01,1.20E+00,24,1,27.41,28.11,100,1,100,44  17  39,-1,3.14E+01
11,baseline,baseline,1,33,0,20130819T101803,4.76E+01,1.20E+00,25,0,10.2,10.71,92,1,112,47  42  23,-1,1.39E+01
11,baseline,baseline,1,34,0,20130819T101803,4.53E+01,1.20E+00,24,1,19.72,21.06,84,1,84,10  46  28,-1,2.43E+01
11,baseline,baseline,1,35,0,20130819T101803,4.76E+01,1.20E+00,25,1,20.1,22.15,108,1,108,17  43  48,-1,2.54E+01
